Airline,Origin,mean
Air Wisconsin Airlines Corp,MCI,17.40740740740741
Air Wisconsin Airlines Corp,MDT,13.481675392670157
Air Wisconsin Airlines Corp,MHT,16.310344827586206
Air Wisconsin Airlines Corp,MKE,15.879077167859984
Air Wisconsin Airlines Corp,MLI,15.327455919395465
Air Wisconsin Airlines Corp,MSN,14.73091603053435
Air Wisconsin Airlines Corp,OKC,15.866666666666667
Air Wisconsin Airlines Corp,OMA,17.666666666666668
Air Wisconsin Airlines Corp,ORD,23.03083338060929
Air Wisconsin Airlines Corp,ORF,14.881422924901186
Air Wisconsin Airlines Corp,PHL,16.513245033112582
Air Wisconsin Airlines Corp,PIA,15.160377358490566
Air Wisconsin Airlines Corp,PNS,14.723076923076922
Air Wisconsin Airlines Corp,PVD,15.641833810888253
Air Wisconsin Airlines Corp,PWM,14.082508250825082
Air Wisconsin Airlines Corp,RAP,15.329268292682928
Air Wisconsin Airlines Corp,RIC,14.967497291440953
Air Wisconsin Airlines Corp,ROA,17.292756539235413
Air Wisconsin Airlines Corp,ROC,16.046132971506104
Air Wisconsin Airlines Corp,RST,18.07986501687289
Air Wisconsin Airlines Corp,SAV,14.997780244173141
Air Wisconsin Airlines Corp,SBN,13.6
Air Wisconsin Airlines Corp,SCE,14.693877551020408
Air Wisconsin Airlines Corp,SDF,16.714535901926446
Air Wisconsin Airlines Corp,SGF,17.91044776119403
Air Wisconsin Airlines Corp,STL,16.682666666666666
Air Wisconsin Airlines Corp,SYR,16.970833333333335
Air Wisconsin Airlines Corp,TUL,17.51219512195122
Air Wisconsin Airlines Corp,TVC,16.484313725490196
Air Wisconsin Airlines Corp,TYS,15.365092073658927
Air Wisconsin Airlines Corp,XNA,16.04130808950086
Alaska Airlines Inc.,ABQ,14.60752688172043
Alaska Airlines Inc.,ADK,8.855263157894736
Alaska Airlines Inc.,ADQ,7.674568965517241
Alaska Airlines Inc.,AKN,9.870967741935484
Alaska Airlines Inc.,ANC,13.54539600772698
Alaska Airlines Inc.,ATL,18.043650793650794
Alaska Airlines Inc.,AUS,15.439380911435942
Alaska Airlines Inc.,BET,8.701639344262295
Alaska Airlines Inc.,BLI,17.26050420168067
Alaska Airlines Inc.,BNA,16.023300970873787
Alaska Airlines Inc.,BOI,14.258547008547009
Alaska Airlines Inc.,BOS,23.793296089385475
Alaska Airlines Inc.,BRW,7.516605166051661
Alaska Airlines Inc.,BUR,16.609424920127797
Alaska Airlines Inc.,BWI,17.078895463510847
Alaska Airlines Inc.,CDV,9.308550185873607
Alaska Airlines Inc.,CHS,16.972677595628415
Alaska Airlines Inc.,DAL,15.899378881987577
Alaska Airlines Inc.,DCA,20.883397683397682
Alaska Airlines Inc.,DEN,18.00602409638554
Alaska Airlines Inc.,DFW,18.364312267657994
Alaska Airlines Inc.,DLG,9.612903225806452
Alaska Airlines Inc.,DTW,17.334029227557412
Alaska Airlines Inc.,EWR,26.304644365053587
Alaska Airlines Inc.,FAI,13.036157024793388
Alaska Airlines Inc.,FLL,19.368906455862977
Alaska Airlines Inc.,GEG,18.068770226537218
Alaska Airlines Inc.,GST,7.466666666666667
Alaska Airlines Inc.,HNL,22.049180327868854
Alaska Airlines Inc.,IAD,20.050434782608697
Alaska Airlines Inc.,IAH,16.563805104408353
Alaska Airlines Inc.,IND,15.884615384615385
Alaska Airlines Inc.,JFK,28.092491137608764
Alaska Airlines Inc.,JNU,13.483437192522139
Alaska Airlines Inc.,KOA,14.76149802890933
Alaska Airlines Inc.,KTN,11.78160237388724
Alaska Airlines Inc.,LAS,18.368604437924077
Alaska Airlines Inc.,LAX,23.17380554141517
Alaska Airlines Inc.,LIH,14.08298755186722
Alaska Airlines Inc.,MCI,14.877232142857142
Alaska Airlines Inc.,MCO,17.01121794871795
Alaska Airlines Inc.,MKE,13.786324786324787
Alaska Airlines Inc.,MSP,23.6937618147448
Alaska Airlines Inc.,MSY,15.870901639344263
Alaska Airlines Inc.,OAK,14.663179916317992
Alaska Airlines Inc.,OGG,13.158192090395481
Alaska Airlines Inc.,OMA,15.116788321167883
Alaska Airlines Inc.,OME,8.796153846153846
Alaska Airlines Inc.,ONT,13.471523178807947
Alaska Airlines Inc.,ORD,24.309098639455783
Alaska Airlines Inc.,OTZ,8.928846153846154
Alaska Airlines Inc.,PDX,14.872555915037276
Alaska Airlines Inc.,PHL,21.339310344827584
Alaska Airlines Inc.,PHX,13.104571984435797
Alaska Airlines Inc.,PIT,15.530434782608696
Alaska Airlines Inc.,PSG,8.802973977695167
Alaska Airlines Inc.,PSP,13.543969849246231
Alaska Airlines Inc.,RDM,15.393258426966293
Alaska Airlines Inc.,RDU,18.728033472803347
Alaska Airlines Inc.,SAN,19.049640648504095
Alaska Airlines Inc.,SAT,11.463503649635037
Alaska Airlines Inc.,SBA,13.934545454545454
Alaska Airlines Inc.,SCC,7.93839541547278
Alaska Airlines Inc.,SEA,21.185317872511817
Alaska Airlines Inc.,SFO,22.063852407754847
Alaska Airlines Inc.,SIT,11.130588235294118
Alaska Airlines Inc.,SJC,14.785411999004232
Alaska Airlines Inc.,SLC,17.73906125696102
Alaska Airlines Inc.,SMF,15.66819973718791
Alaska Airlines Inc.,SNA,13.836209703679582
Alaska Airlines Inc.,STL,15.544270833333334
Alaska Airlines Inc.,TPA,17.07
Alaska Airlines Inc.,TUS,12.366300366300367
Alaska Airlines Inc.,WRG,7.504655493482309
Alaska Airlines Inc.,YAK,9.50374531835206
Allegiant Air,ABE,11.625835189309576
Allegiant Air,ABQ,10.811659192825113
Allegiant Air,ALB,18.296296296296298
Allegiant Air,ATW,11.278538812785389
Allegiant Air,AUS,12.816748768472907
Allegiant Air,AVL,11.688826025459688
Allegiant Air,AVP,12.0
Allegiant Air,AZA,12.322816467872258
Allegiant Air,BGR,13.897790055248619
Allegiant Air,BHM,13.0
Allegiant Air,BIL,11.517985611510792
Allegiant Air,BIS,12.616161616161616
Allegiant Air,BLI,11.452545568824638
Allegiant Air,BLV,11.454905847373638
Allegiant Air,BMI,7.623318385650224
Allegiant Air,BNA,13.092753623188406
Allegiant Air,BOI,12.15527950310559
Allegiant Air,BWI,12.909859154929578
Allegiant Air,BZN,12.982608695652173
Allegiant Air,CHA,13.28888888888889
Allegiant Air,CHS,13.022321428571429
Allegiant Air,CID,12.170731707317072
Allegiant Air,CKB,10.710743801652892
Allegiant Air,CLE,11.78562091503268
Allegiant Air,COS,19.485714285714284
Allegiant Air,CPR,7.0
Allegiant Air,CVG,12.208275479033603
Allegiant Air,DAY,11.150442477876107
Allegiant Air,DEN,15.879310344827585
Allegiant Air,DSM,12.496902106567534
Allegiant Air,ELM,12.815699658703071
Allegiant Air,ELP,13.860606060606061
Allegiant Air,EUG,9.735059760956176
Allegiant Air,EVV,10.38888888888889
Allegiant Air,EWR,20.23611111111111
Allegiant Air,FAR,12.829741379310345
Allegiant Air,FAT,10.40159045725646
Allegiant Air,FCA,12.194805194805195
Allegiant Air,FLL,16.631058020477816
Allegiant Air,FNT,11.899671052631579
