Airline,Dest,mean
Air Wisconsin Airlines Corp,OKC,5.933333333333334
Air Wisconsin Airlines Corp,OMA,3.6222222222222222
Air Wisconsin Airlines Corp,ORD,13.900273379655998
Air Wisconsin Airlines Corp,ORF,3.6496062992125986
Air Wisconsin Airlines Corp,PHL,7.0462046204620465
Air Wisconsin Airlines Corp,PIA,3.8135860979462874
Air Wisconsin Airlines Corp,PNS,4.151515151515151
Air Wisconsin Airlines Corp,PVD,3.94
Air Wisconsin Airlines Corp,PWM,4.03921568627451
Air Wisconsin Airlines Corp,RAP,6.396341463414634
Air Wisconsin Airlines Corp,RIC,7.3039319872476085
Air Wisconsin Airlines Corp,ROA,7.497
Air Wisconsin Airlines Corp,ROC,7.622641509433962
Air Wisconsin Airlines Corp,RST,4.065095398428732
Air Wisconsin Airlines Corp,SAV,5.042998897464168
Air Wisconsin Airlines Corp,SBN,3.611111111111111
Air Wisconsin Airlines Corp,SCE,3.4070146818923326
Air Wisconsin Airlines Corp,SDF,9.541237113402062
Air Wisconsin Airlines Corp,SGF,6.314126394052044
Air Wisconsin Airlines Corp,STL,5.774869109947644
Air Wisconsin Airlines Corp,SYR,5.279835390946502
Air Wisconsin Airlines Corp,TUL,4.4965753424657535
Air Wisconsin Airlines Corp,TVC,4.554263565891473
Air Wisconsin Airlines Corp,TYS,4.137876386687797
Air Wisconsin Airlines Corp,XNA,7.0286195286195285
Alaska Airlines Inc.,ABQ,6.3936170212765955
Alaska Airlines Inc.,ADK,5.0394736842105265
Alaska Airlines Inc.,ADQ,3.238095238095238
Alaska Airlines Inc.,AKN,4.0
Alaska Airlines Inc.,ANC,4.371865781710914
Alaska Airlines Inc.,ATL,7.3812375249501
Alaska Airlines Inc.,AUS,6.009401709401709
Alaska Airlines Inc.,BET,3.6557377049180326
Alaska Airlines Inc.,BLI,4.2809917355371905
Alaska Airlines Inc.,BNA,6.448742746615087
Alaska Airlines Inc.,BOI,3.8272921108742004
Alaska Airlines Inc.,BOS,9.426327944572748
Alaska Airlines Inc.,BRW,3.9814814814814814
Alaska Airlines Inc.,BUR,4.1268954509177975
Alaska Airlines Inc.,BWI,9.16715830875123
Alaska Airlines Inc.,CDV,3.71588785046729
Alaska Airlines Inc.,CHS,6.114130434782608
Alaska Airlines Inc.,DAL,8.804968944099379
Alaska Airlines Inc.,DCA,6.077279752704792
Alaska Airlines Inc.,DEN,7.396694214876033
Alaska Airlines Inc.,DFW,8.583179297597043
Alaska Airlines Inc.,DLG,4.612903225806452
Alaska Airlines Inc.,DTW,7.897916666666666
Alaska Airlines Inc.,EWR,10.816300129366105
Alaska Airlines Inc.,FAI,3.5963586396427343
Alaska Airlines Inc.,FLL,6.2206266318537855
Alaska Airlines Inc.,GEG,4.2145748987854255
Alaska Airlines Inc.,GST,5.666666666666667
Alaska Airlines Inc.,HNL,8.539038376709307
Alaska Airlines Inc.,IAD,6.825108225108225
Alaska Airlines Inc.,IAH,8.504608294930875
Alaska Airlines Inc.,IND,6.038363171355499
Alaska Airlines Inc.,JFK,9.01059390048154
Alaska Airlines Inc.,JNU,4.079526782780151
Alaska Airlines Inc.,KOA,7.749017038007864
Alaska Airlines Inc.,KTN,4.396337861783816
Alaska Airlines Inc.,LAS,7.712952799121844
Alaska Airlines Inc.,LAX,13.398764085786986
Alaska Airlines Inc.,LIH,6.987531172069826
Alaska Airlines Inc.,MCI,7.031319910514541
Alaska Airlines Inc.,MCO,9.596477181745396
Alaska Airlines Inc.,MKE,4.0257510729613735
Alaska Airlines Inc.,MSP,6.68796992481203
Alaska Airlines Inc.,MSY,7.778688524590164
Alaska Airlines Inc.,OAK,5.629049111807732
Alaska Airlines Inc.,OGG,8.009387908374014
Alaska Airlines Inc.,OMA,5.8321167883211675
Alaska Airlines Inc.,OME,3.601923076923077
Alaska Airlines Inc.,ONT,4.104774535809018
Alaska Airlines Inc.,ORD,16.582660433489163
Alaska Airlines Inc.,OTZ,3.9278937381404173
Alaska Airlines Inc.,PDX,5.029316647919011
Alaska Airlines Inc.,PHL,8.376373626373626
Alaska Airlines Inc.,PHX,6.229126213592233
Alaska Airlines Inc.,PIT,5.232758620689655
Alaska Airlines Inc.,PSG,3.8460111317254175
Alaska Airlines Inc.,PSP,5.05694618272841
Alaska Airlines Inc.,RDM,4.3
Alaska Airlines Inc.,RDU,6.20997920997921
Alaska Airlines Inc.,SAN,4.3890933422549345
Alaska Airlines Inc.,SAT,4.92
Alaska Airlines Inc.,SBA,4.192727272727272
Alaska Airlines Inc.,SCC,3.5704125177809387
Alaska Airlines Inc.,SEA,9.93391097519538
Alaska Airlines Inc.,SFO,8.414330609679446
Alaska Airlines Inc.,SIT,4.224824355971897
Alaska Airlines Inc.,SJC,5.119154228855721
Alaska Airlines Inc.,SLC,6.155131264916467
Alaska Airlines Inc.,SMF,5.786649214659686
Alaska Airlines Inc.,SNA,5.505365853658536
Alaska Airlines Inc.,STL,6.0880829015544045
Alaska Airlines Inc.,TPA,5.5
Alaska Airlines Inc.,TUS,4.456204379562044
Alaska Airlines Inc.,WRG,3.824074074074074
Alaska Airlines Inc.,YAK,4.07635009310987
Allegiant Air,ABE,5.350111856823267
Allegiant Air,ABQ,5.654708520179372
Allegiant Air,ALB,5.928571428571429
Allegiant Air,ATW,5.889908256880734
Allegiant Air,AUS,6.057030481809243
Allegiant Air,AVL,7.573758865248227
Allegiant Air,AVP,7.5
Allegiant Air,AZA,5.804297774366845
Allegiant Air,BGR,6.367403314917127
Allegiant Air,BIL,5.176258992805756
Allegiant Air,BIS,6.474489795918367
Allegiant Air,BLI,6.448427672955975
Allegiant Air,BLV,6.210891089108911
Allegiant Air,BMI,5.896396396396397
Allegiant Air,BNA,9.67816091954023
Allegiant Air,BOI,5.7115987460815045
Allegiant Air,BWI,6.445070422535212
Allegiant Air,BZN,8.671052631578947
Allegiant Air,CHA,8.95111111111111
Allegiant Air,CHS,7.044642857142857
Allegiant Air,CID,7.771551724137931
Allegiant Air,CKB,6.30327868852459
Allegiant Air,CLE,7.591916558018253
Allegiant Air,COS,9.2
Allegiant Air,CPR,5.0
Allegiant Air,CVG,7.380172174396001
Allegiant Air,DAY,5.895209580838324
Allegiant Air,DEN,9.080924855491329
Allegiant Air,DSM,7.706982543640898
Allegiant Air,ELM,5.71280276816609
Allegiant Air,ELP,5.926829268292683
Allegiant Air,EUG,6.620758483033932
Allegiant Air,EVV,5.451388888888889
Allegiant Air,EWR,7.203125
Allegiant Air,FAR,5.78494623655914
Allegiant Air,FAT,5.241035856573705
Allegiant Air,FCA,5.633986928104576
Allegiant Air,FLL,9.227800546448087
Allegiant Air,FNT,6.916256157635468
